RT,CAP1,CAP2
RT26.42,0.471341002,-0.113931535
RT26.64,0.411339863,0.091122753
RT26.72,-0.068715775,-0.149357903
RT26.76,0.39245614,-0.236486942
RT26.78,0.166852194,0.213722737
RT26.82,0.153504082,-0.329543433
RT26.91,-0.053899616,-0.192398588
RT27.01,0.534664402,-0.312853037
RT27.07,0.042527743,0.042017505
RT27.17,-0.189519332,0.140285837
RT27.24,0.384634244,-0.37937265
RT27.36,0.057230433,0.28569346
RT27.41,0.132695494,0.400525314
RT27.58,0.077867314,-0.166564244
RT27.67,0.173809111,0.216192339
RT27.77,0.103521124,-0.03600701
RT27.88,0.378595207,-0.487993107
RT28.02,0.260286831,0.00418093
RT28.05,0.463808987,-0.252793118
RT28.27,0.027714043,-0.079165655
RT28.32,0.319563164,0.027873207
RT28.41,0.247584267,0.229904474
RT28.61,0.272361689,0.274542719
RT28.64,0.253232722,0.360254933
RT28.77,0.431903293,-0.373569143
RT29.13,0.148896815,0.308139271
RT29.30,0.445985302,-0.216305063
RT29.32,0.02240561,0.122005192
RT29.49,-0.092751115,0.130737979
RT29.83,0.213813258,0.046284514
RT29.98,0.171940329,0.274103399
RT30.02,0.018420637,-0.06075582
RT30.11,0.15201038,0.183002243
RT30.30,0.072718731,0.032963754
RT30.50,0.210353638,-0.356861618
RT30.51,0.193115887,0.270432678
RT30.61,0.262652862,0.197420149
RT30.88,0.191542347,0.285060344
RT31.36,0.300961364,0.119515295
RT32.12,0.272782101,0.272079051
RT32.16,0.233997063,0.131890056
RT32.19,0.192133345,0.228235882
RT32.47,0.189115672,0.021596612
RT32.97,0.098283517,0.173779071
RT33.26,0.223605429,0.087443689
RT33.65,0.00379189,-0.345620403
RT33.75,0.119536439,0.266017287
RT33.79,0.515171648,-0.046546592
RT34.07,0.279024804,-0.175806324
RT34.18,0.43146457,0.081108126
RT34.30,0.312169955,0.112626967
RT34.60,0.28262628,-0.386871449
RT34.67,0.266978253,0.178341499
RT34.75,0.211167362,-0.119322959
RT35.15,0.593895952,0.065040486
RT35.33,0.390865365,-0.273118212
RT35.96,0.305433925,-0.257586202
RT36.23,0.398673913,-0.243121297
RT36.28,0.138556078,-0.417370362
RT36.39,0.342084619,-0.173980809
RT36.95,0.382849181,-0.131075308
RT37.45,0.424762287,-0.208837301
RT39.28,0.571675989,-0.202282721
RT4.33,0.559979011,-0.45128158
RT4.64,0.075701089,-0.019204029
RT4.85,-0.312774039,0.178637904
RT41.08,0.452856186,0.015830424
RT5.16,-0.002141132,0.142455293
RT5.39,0.069818824,0.375680933
RT5.83,-0.09644449,-0.252381293
RT6.22,0.182542112,0.206217362
RT6.95,0.258005161,0.10212413
RT7.07,0.420565432,-0.3369457
RT7.26,0.0586654,0.111124959
RT7.44,0.234770301,-0.308080837
RT7.71,-0.11761815,-0.136186739
RT7.87,0.062684228,-0.219410103
RT8.10,-0.039095019,0.365861046
RT8.23,-0.010211741,0.21486899
RT8.24,0.3070333,0.18096141
RT8.55,0.307175956,0.413122228
RT8.67,0.04985641,-0.610373253
RT9.08,0.002420785,-0.703867887
RT9.44,0.282994886,-0.251904109
RT9.65,0.018883389,-0.583602008
RT9.71,0.415010873,-0.432252682
RT9.85,0.045105729,-0.025719104
RT9.96,0.507118682,0.204381368
